time_s,omega_cmd_rad_s
0.000000,139.626340
2.975000,139.626340
3.025000,0.000000
9.975000,0.000000
10.025000,139.626340
12.975000,139.626340
13.025000,0.000000
19.975000,0.000000
20.025000,139.626340
22.975000,139.626340
23.025000,0.000000
29.975000,0.000000
30.025000,139.626340
32.975000,139.626340
33.025000,0.000000
39.975000,0.000000
40.025000,139.626340
42.975000,139.626340
43.025000,0.000000
49.975000,0.000000
50.025000,139.626340
52.975000,139.626340
53.025000,0.000000
61.000000,0.000000
