parent_ep,t_plus_s,t_minus_s,duty,period_s,n,r_mean,r_sd,r_values
52,4.934918190571459,0.46958730175993113,0.9131118837003233,5.40450549233139,3,0.29191550280163875,0.00262780686987146,0.29274;0.29403;0.28897
119,4.76462253988587,0.4802806043824037,0.9084290803525583,5.2449031442682745,3,0.2873832926323492,0.00047471334459727084,0.28712;0.28793;0.28710
128,4.68,0.5,0.9034749034749034,5.18,3,0.29675108039649883,0.0012085660300513938,0.29579;0.29636;0.29811
