ep,kind,rep_of,t_plus_s,t_minus_s,w_b_rpm,duty,period_s,w_hi_rpm,r_last,X_last,P_last_W,r_mean,X_mean,X_blocks,r_blocks,wall_min,worker,status
2,init,-1,2.0,0.5,300.0,0.8,2.5,371.40521901418583,0.28742600763373616,0.40390290249029354,3.7202720217184426,0.27786772042042884,0.39434461527698617,0.365226;0.399707;0.402485;0.400401;0.403903,0.248749;0.283230;0.286008;0.283924;0.287426,194.65465919971467,worker_02,ok
40,init,-1,4.113719198524931,0.995030505556376,300.0,0.8052301319907177,5.1087497040813075,370.9680202702931,0.276556399606424,0.3927537712872744,3.7113440514863636,0.2696452954288534,0.38584266710970366,0.362966;0.393977;0.391684;0.387832;0.392754,0.246769;0.277780;0.275486;0.271635;0.276556,194.67456252177556,worker_40,ok
4,init,-1,4.0,1.0,300.0,0.8,5.0,371.4055208376547,0.2750766682476966,0.3912687334815585,3.711174563569548,0.2679978368425177,0.38418990207637954,0.362240;0.387111;0.389618;0.390712;0.391269,0.246048;0.270919;0.273426;0.274520;0.275077,194.7954698721568,worker_04,ok
0,init,-1,3.0,0.0,300.0,1.0,3.0,300.0,0.24415592173933398,0.36126206988859016,3.7403703718872428,0.24334291939401984,0.3604490675432761,0.358216;0.360538;0.361027;0.361201;0.361262,0.241110;0.243432;0.243921;0.244095;0.244156,194.8929921388626,worker_00,ok
19,init,-1,3.7994000031789157,4.052879023515567,300.0,0.48385952540180194,7.852279026694482,563.4047679731962,0.24073529719409412,0.35555501779986265,3.6673418761482472,0.23638667559375187,0.3512063961995202,0.338509;0.351616;0.354932;0.355420;0.355555,0.223689;0.236796;0.240112;0.240601;0.240735,194.9353641907374,worker_19,ok
7,init,-1,3.177731234796941,0.9115031485032316,300.0,0.7770968687376603,4.089234383300172,379.8909460548501,0.278623479095893,0.3947877609237869,3.7102871615829303,0.2710545284381579,0.3872188102660518,0.362338;0.390855;0.393384;0.394729;0.394788,0.246174;0.274691;0.277220;0.278565;0.278623,195.5436993320783,worker_07,ok
26,init,-1,1.7192256997529891,0.35947449942849485,300.0,0.8270676552732121,2.078700199181484,359.6576895420401,0.2862626058741743,0.40297444749536443,3.727776221380813,0.2768218766241044,0.39353371824529426,0.363706;0.396031;0.401372;0.403586;0.402974,0.246994;0.279319;0.284660;0.286874;0.286263,195.77372950315475,worker_26,ok
37,init,-1,4.937321246297003,2.5453039445794907,300.0,0.6598381076626744,7.482625190876494,424.7059401753697,0.26817600904962247,0.3837133815825445,3.6902636787015286,0.2629425938970683,0.3784799664299903,0.358374;0.381934;0.384104;0.384274;0.383713,0.242836;0.266397;0.268566;0.268737;0.268176,197.1314294139544,worker_37,ok
32,init,-1,4.594766259673141,4.146415621481852,300.0,0.525645882003547,8.741181881154994,565.8705564128269,0.24176206812968165,0.35607846470698373,3.651265706679029,0.23889403937498516,0.3532104359522871,0.339614;0.353089;0.360402;0.356869;0.356078,0.225298;0.238772;0.246086;0.242552;0.241762,197.22853897015253,worker_32,ok
6,init,-1,3.278995713291349,1.4117125154047776,300.0,0.6990406466195425,4.690708228696127,411.75891811991517,0.2735495692683031,0.3893352552052584,3.6981948088263534,0.26763352562328296,0.3834192115602383,0.360431;0.387246;0.389847;0.390238;0.389335,0.244645;0.271460;0.274061;0.274452;0.273550,197.78662093877793,worker_06,ok
13,init,-1,2.2090353009296617,1.2037847384516445,300.0,0.6472756475404801,3.412820039381306,443.80219015740914,0.2710108126953856,0.38671812973273834,3.6956917061730468,0.2625282885257061,0.3782356055630589,0.353086;0.381235;0.384697;0.385442;0.386718,0.237379;0.265528;0.268989;0.269735;0.271011,198.12239564259846,worker_13,ok
28,init,-1,3.0251967834729423,1.5826796533044107,300.0,0.6565273233734319,4.607876436777353,431.2145533993355,0.27070399932537303,0.38633694039399413,3.693316137731758,0.2639738025674632,0.3796067436360843,0.357050;0.382963;0.385839;0.385845;0.386337,0.241417;0.267330;0.270206;0.270212;0.270704,198.81372613509495,worker_28,ok
29,init,-1,3.723840445348495,2.331476285898255,300.0,0.6149703823307325,6.05531673124675,467.72278298846504,0.26421508979277575,0.3795291560276158,3.6831312755407914,0.2579704521331821,0.3732845183680221,0.349297;0.373519;0.380436;0.383641;0.379529,0.233983;0.258205;0.265122;0.268327;0.264215,199.3391636053721,worker_29,ok
34,init,-1,4.241718344240768,2.1139582232531677,300.0,0.6673905286393911,6.355676567493935,444.53744633823067,0.2684913398909415,0.3839524223724556,3.6878269744595604,0.2625581777599005,0.3780192602414144,0.357111;0.381193;0.383363;0.384477;0.383952,0.241650;0.265731;0.267902;0.269016;0.268491,199.4925719658534,worker_34,ok
