mode,wb_rpm,duty,peak_rpm,X_conv_lastperiod,conv_final,conv_episode_mean,P_motor_W,P_over_Pmax,R_minus (X - P/Pmax),R_plus (X + P/Pmax),P_visc_cfd_W,omega_meas_peak_rpm,omega_meas_mean_rpm,diverged,wall_minutes
constant,100,1.00,100,0.262485,0.302835,0.217527,1.39442,0.0436576,0.218828,0.306143,0.00198171,100.0,100.0,0,nan
constant,200,1.00,200,0.309158,0.323226,0.262843,2.56497,0.0803059,0.228852,0.389464,0.0105466,200.0,200.0,0,nan
constant,300,1.00,300,0.346296,0.340914,0.2936,3.74037,0.117106,0.22919,0.463403,0.0295531,300.0,300.0,0,nan
constant,400,1.00,400,0.407373,0.436421,0.337048,4.92118,0.154076,0.253298,0.561449,0.0648682,400.0,400.0,0,nan
constant,500,1.00,500,0.393293,0.391691,0.329196,6.10794,0.191232,0.202062,0.584525,0.115211,500.0,500.0,0,nan
pulsed,100,0.80,125,0.27351,0.250048,0.227129,1.35016,0.0422719,0.231238,0.315782,0.00280243,125.0,99.9,0,52.86
pulsed,200,0.80,250,0.335716,0.357106,0.27728,2.52246,0.0789749,0.256741,0.414691,0.015708,250.0,199.8,0,51.40
pulsed,300,0.80,375,0.378815,0.359744,0.31497,3.70173,0.115896,0.262919,0.494711,0.0448695,375.0,299.7,0,51.92
pulsed,400,0.80,500,0.384457,0.367681,0.314442,4.88905,0.15307,0.231387,0.537527,0.0951235,500.0,399.6,0,51.48
pulsed,500,0.80,625,0.405387,0.382762,0.334976,6.08517,0.190519,0.214869,0.595906,0.163904,625.0,499.5,0,54.09
