=== constant sweep task 0: tag=const_base expl=0.1 dur=60s steps=120 ===
[td3 s0] t=46/120 ep=45 step=1 a=+0.542 omega=+162.71 I=0.0137 E=3.360e-03 r=-0.0645 dt=275.4s
[td3 s0] t=47/120 ep=46 step=1 a=+0.349 omega=+104.68 I=0.0222 E=1.127e-03 r=-0.0392 dt=289.6s
[td3 s0] t=48/120 ep=47 step=1 a=+0.336 omega=+100.87 I=0.0195 E=1.037e-03 r=-0.0352 dt=293.1s
[td3 s0] t=49/120 ep=48 step=1 a=+0.252 omega=+75.50 I=0.0194 E=5.245e-04 r=-0.0273 dt=291.4s
[td3 s0] t=50/120 ep=49 step=1 a=+0.217 omega=+65.17 I=0.0239 E=3.691e-04 r=-0.0295 dt=293.2s
[td3 s0] t=51/120 ep=50 step=1 a=+0.202 omega=+60.69 I=0.0195 E=3.115e-04 r=-0.0242 dt=291.9s
[td3 s0] t=52/120 ep=51 step=1 a=+0.167 omega=+50.23 I=0.0394 E=1.951e-04 r=-0.0423 dt=291.7s
[td3 s0] t=53/120 ep=52 step=1 a=+0.231 omega=+69.40 I=0.0650 E=4.296e-04 r=-0.0715 dt=293.5s
[td3 s0] t=54/120 ep=53 step=1 a=+0.418 omega=+125.47 I=0.0179 E=1.659e-03 r=-0.0430 dt=291.7s
[td3 s0] t=55/120 ep=54 step=1 a=+0.416 omega=+124.82 I=0.0181 E=1.638e-03 r=-0.0429 dt=292.9s
[td3 s0] t=56/120 ep=55 step=1 a=+0.293 omega=+87.97 I=0.0197 E=7.563e-04 r=-0.0311 dt=292.5s
[td3 s0] t=57/120 ep=56 step=1 a=+0.381 omega=+114.34 I=0.0138 E=1.392e-03 r=-0.0348 dt=290.1s
[td3 s0] t=58/120 ep=57 step=1 a=+0.395 omega=+118.65 I=0.0169 E=1.406e-03 r=-0.0382 dt=296.8s
[td3 s0] t=59/120 ep=58 step=1 a=+0.321 omega=+96.39 I=0.0217 E=9.388e-04 r=-0.0359 dt=290.4s
[td3 s0] t=60/120 ep=59 step=1 a=+0.210 omega=+63.13 I=0.0346 E=3.428e-04 r=-0.0398 dt=293.8s
[td3 s0] t=61/120 ep=60 step=1 a=+0.373 omega=+112.05 I=0.0220 E=1.308e-03 r=-0.0418 dt=293.3s
[td3 s0] t=62/120 ep=61 step=1 a=+0.307 omega=+92.22 I=0.0363 E=8.405e-04 r=-0.0490 dt=292.0s
[td3 s0] t=63/120 ep=62 step=1 a=+0.169 omega=+50.74 I=0.0233 E=2.002e-04 r=-0.0263 dt=293.6s
[td3 s0] t=64/120 ep=63 step=1 a=+0.607 omega=+182.24 I=0.0130 E=4.461e-03 r=-0.0805 dt=275.5s
[td3 s0] t=65/120 ep=64 step=1 a=+0.395 omega=+118.50 I=0.0166 E=1.402e-03 r=-0.0378 dt=296.7s
[td3 s0] t=66/120 ep=65 step=1 a=+0.283 omega=+84.75 I=0.0147 E=6.959e-04 r=-0.0252 dt=296.0s
[td3 s0] t=67/120 ep=66 step=1 a=+0.369 omega=+110.72 I=0.0191 E=1.282e-03 r=-0.0385 dt=291.5s
[td3 s0] t=68/120 ep=67 step=1 a=+0.533 omega=+160.01 I=0.0149 E=3.187e-03 r=-0.0631 dt=272.8s
[td3 s0] t=69/120 ep=68 step=1 a=+0.481 omega=+144.44 I=0.0163 E=2.426e-03 r=-0.0530 dt=268.2s
[td3 s0] t=70/120 ep=69 step=1 a=+0.256 omega=+76.71 I=0.0325 E=5.413e-04 r=-0.0407 dt=302.8s
[td3 s0] t=71/120 ep=70 step=1 a=+0.279 omega=+83.81 I=0.0226 E=6.759e-04 r=-0.0328 dt=295.3s
[td3 s0] t=72/120 ep=71 step=1 a=+0.404 omega=+121.12 I=0.0179 E=1.502e-03 r=-0.0406 dt=295.9s
[td3 s0] t=73/120 ep=72 step=1 a=+0.258 omega=+77.45 I=0.0263 E=5.555e-04 r=-0.0347 dt=302.6s
[td3 s0] t=74/120 ep=73 step=1 a=+0.302 omega=+90.67 I=0.0241 E=8.132e-04 r=-0.0364 dt=294.7s
[td3 s0] t=75/120 ep=74 step=1 a=+0.275 omega=+82.59 I=0.0339 E=6.513e-04 r=-0.0437 dt=290.5s
[td3 s0] t=76/120 ep=75 step=1 a=+0.208 omega=+62.43 I=0.0197 E=3.338e-04 r=-0.0248 dt=291.8s
[td3 s0] t=77/120 ep=76 step=1 a=+0.302 omega=+90.59 I=0.0213 E=8.121e-04 r=-0.0336 dt=289.9s
[td3 s0] t=78/120 ep=77 step=1 a=+0.178 omega=+53.54 I=0.0262 E=2.289e-04 r=-0.0296 dt=299.9s
[td3 s0] t=79/120 ep=78 step=1 a=+0.332 omega=+99.49 I=0.0183 E=1.005e-03 r=-0.0335 dt=291.3s
[td3 s0] t=80/120 ep=79 step=1 a=+0.272 omega=+81.74 I=0.0171 E=6.381e-04 r=-0.0267 dt=291.6s
[td3 s0] t=81/120 ep=80 step=1 a=+0.275 omega=+82.65 I=0.0259 E=6.497e-04 r=-0.0357 dt=291.4s
[td3 s0] t=82/120 ep=81 step=1 a=+0.441 omega=+132.36 I=0.0168 E=1.894e-03 r=-0.0455 dt=287.4s
[td3 s0] t=83/120 ep=82 step=1 a=+0.238 omega=+71.37 I=0.0138 E=4.566e-04 r=-0.0207 dt=290.7s
[td3 s0] t=84/120 ep=83 step=1 a=+0.457 omega=+137.19 I=0.0170 E=2.126e-03 r=-0.0492 dt=267.6s
[td3 s0] t=85/120 ep=84 step=1 a=+0.349 omega=+104.61 I=0.0149 E=1.125e-03 r=-0.0320 dt=298.5s
[td3 s0] t=86/120 ep=85 step=1 a=+0.165 omega=+49.40 I=0.0253 E=1.870e-04 r=-0.0281 dt=293.7s
[td3 s0] t=87/120 ep=86 step=1 a=+0.340 omega=+102.05 I=0.0562 E=1.057e-03 r=-0.0722 dt=290.4s
[td3 s0] t=88/120 ep=87 step=1 a=+0.426 omega=+127.94 I=0.0171 E=1.740e-03 r=-0.0434 dt=293.0s
[td3 s0] t=89/120 ep=88 step=1 a=+0.269 omega=+80.60 I=0.0140 E=6.166e-04 r=-0.0234 dt=292.1s
[td3 s0] t=90/120 ep=89 step=1 a=+0.291 omega=+87.31 I=0.0307 E=7.451e-04 r=-0.0420 dt=293.0s
[td3 s0] t=91/120 ep=90 step=1 a=+0.413 omega=+123.99 I=0.0176 E=1.611e-03 r=-0.0420 dt=291.9s
[td3 s0] t=92/120 ep=91 step=1 a=+0.383 omega=+114.79 I=0.0176 E=1.402e-03 r=-0.0388 dt=288.9s
[td3 s0] t=93/120 ep=92 step=1 a=+0.258 omega=+77.30 I=0.0245 E=5.527e-04 r=-0.0328 dt=291.9s
[td3 s0] t=94/120 ep=93 step=1 a=+0.471 omega=+141.20 I=0.0166 E=2.289e-03 r=-0.0513 dt=268.6s
[td3 s0] t=95/120 ep=94 step=1 a=+0.356 omega=+106.78 I=0.0197 E=1.189e-03 r=-0.0376 dt=288.5s
[td3 s0] t=96/120 ep=95 step=1 a=+0.391 omega=+117.32 I=0.0175 E=1.364e-03 r=-0.0381 dt=296.1s
[td3 s0] t=97/120 ep=96 step=1 a=+0.267 omega=+80.13 I=0.0188 E=6.074e-04 r=-0.0279 dt=291.2s
[td3 s0] t=98/120 ep=97 step=1 a=+0.312 omega=+93.74 I=0.0216 E=8.799e-04 r=-0.0349 dt=290.7s
[td3 s0] t=99/120 ep=98 step=1 a=+0.285 omega=+85.37 I=0.0155 E=7.087e-04 r=-0.0262 dt=290.8s
[td3 s0] t=100/120 ep=99 step=1 a=+0.453 omega=+135.88 I=0.0166 E=2.048e-03 r=-0.0475 dt=275.1s
[td3 s0] t=101/120 ep=100 step=1 a=+0.341 omega=+102.33 I=0.0163 E=1.065e-03 r=-0.0324 dt=294.7s
[td3 s0] t=102/120 ep=101 step=1 a=+0.045 omega=+13.39 I=0.1447 E=6.723e-06 r=-0.1448 dt=273.6s
[td3 s0] t=103/120 ep=102 step=1 a=+0.441 omega=+132.31 I=0.0171 E=1.893e-03 r=-0.0457 dt=287.0s
[td3 s0] t=104/120 ep=103 step=1 a=+0.300 omega=+90.08 I=0.0323 E=8.036e-04 r=-0.0445 dt=290.6s
[td3 s0] t=105/120 ep=104 step=1 a=+0.221 omega=+66.44 I=0.0209 E=3.846e-04 r=-0.0267 dt=293.9s
[td3 s0] t=106/120 ep=105 step=1 a=+0.311 omega=+93.39 I=0.0235 E=8.721e-04 r=-0.0367 dt=291.1s
[td3 s0] t=107/120 ep=106 step=1 a=+0.272 omega=+81.59 I=0.0158 E=6.355e-04 r=-0.0254 dt=291.8s
[td3 s0] t=108/120 ep=107 step=1 a=+0.339 omega=+101.73 I=0.0216 E=1.048e-03 r=-0.0375 dt=290.2s
[td3 s0] t=109/120 ep=108 step=1 a=+0.161 omega=+48.16 I=0.0244 E=1.750e-04 r=-0.0271 dt=304.6s
[td3 s0] t=110/120 ep=109 step=1 a=+0.301 omega=+90.21 I=0.0238 E=8.060e-04 r=-0.0360 dt=291.5s
[td3 s0] t=111/120 ep=110 step=1 a=+0.112 omega=+33.66 I=0.0689 E=7.209e-05 r=-0.0700 dt=292.6s
[td3 s0] t=112/120 ep=111 step=1 a=+0.399 omega=+119.58 I=0.0188 E=1.457e-03 r=-0.0408 dt=298.3s
[td3 s0] t=113/120 ep=112 step=1 a=+0.412 omega=+123.54 I=0.0180 E=1.597e-03 r=-0.0421 dt=295.4s
[td3 s0] t=114/120 ep=113 step=1 a=+0.304 omega=+91.32 I=0.0280 E=8.246e-04 r=-0.0405 dt=292.3s
[td3 s0] t=115/120 ep=114 step=1 a=+0.454 omega=+136.11 I=0.0166 E=2.064e-03 r=-0.0478 dt=270.9s
[td3 s0] t=116/120 ep=115 step=1 a=+0.116 omega=+34.79 I=0.0840 E=7.860e-05 r=-0.0851 dt=292.7s
[td3 s0] t=117/120 ep=116 step=1 a=+0.340 omega=+101.94 I=0.0094 E=1.050e-03 r=-0.0253 dt=291.3s
[td3 s0] t=118/120 ep=117 step=1 a=+0.481 omega=+144.34 I=0.0163 E=2.421e-03 r=-0.0530 dt=270.9s
[td3 s0] t=119/120 ep=118 step=1 a=+0.373 omega=+112.01 I=0.0823 E=1.302e-03 r=-0.1020 dt=290.3s
[td3 s0] t=120/120 ep=119 step=1 a=+0.403 omega=+120.82 I=0.0185 E=1.493e-03 r=-0.0411 dt=298.1s
