block,duty,period_s,w_hi_rpm,X_block,wf_block,P_block_W,reward
1,0.95,5.0,315.7894736842105,0.3536160839145921,9.238541956607623e-09,3.721132137818553,0.23711225993780585
2,0.95,5.0,315.7894736842105,0.3740478359595863,9.51848086519728e-09,3.721132137818553,0.2575440119828001
3,0.95,5.0,315.7894736842105,0.38893157592959765,9.29385859262452e-09,3.7211321378185565,0.2724277519528113
4,0.95,5.0,315.7894736842105,0.39377120192703946,9.25095069517522e-09,3.721132137818558,0.2772673779502531
5,0.95,5.0,315.7894736842105,0.3949918446538978,9.238709074484773e-09,3.721132137818558,0.2784880206771114
