time_s,omega_cmd_rad_s
0.000000,52.359878
7.975000,52.359878
8.025000,0.000000
9.975000,0.000000
10.025000,52.359878
17.975000,52.359878
18.025000,0.000000
19.975000,0.000000
20.025000,52.359878
27.975000,52.359878
28.025000,0.000000
29.975000,0.000000
30.025000,52.359878
37.975000,52.359878
38.025000,0.000000
39.975000,0.000000
40.025000,52.359878
47.975000,52.359878
48.025000,0.000000
49.975000,0.000000
50.025000,52.359878
57.975000,52.359878
58.025000,0.000000
59.975000,0.000000
60.025000,52.359878
67.975000,52.359878
68.025000,0.000000
69.975000,0.000000
70.025000,52.359878
77.975000,52.359878
78.025000,0.000000
79.975000,0.000000
80.025000,52.359878
87.975000,52.359878
88.025000,0.000000
89.975000,0.000000
90.025000,52.359878
97.975000,52.359878
98.025000,0.000000
99.975000,0.000000
100.025000,52.359878
107.975000,52.359878
108.025000,0.000000
109.975000,0.000000
110.025000,52.359878
117.975000,52.359878
118.025000,0.000000
119.975000,0.000000
120.025000,52.359878
127.975000,52.359878
128.025000,0.000000
129.975000,0.000000
130.025000,52.359878
137.975000,52.359878
138.025000,0.000000
139.975000,0.000000
140.025000,52.359878
147.975000,52.359878
148.025000,0.000000
149.975000,0.000000
150.025000,52.359878
157.975000,52.359878
158.025000,0.000000
159.975000,0.000000
160.025000,52.359878
167.975000,52.359878
168.025000,0.000000
169.975000,0.000000
170.025000,52.359878
177.975000,52.359878
178.025000,0.000000
179.975000,0.000000
180.025000,52.359878
187.975000,52.359878
188.025000,0.000000
189.975000,0.000000
190.025000,52.359878
197.975000,52.359878
198.025000,0.000000
199.975000,0.000000
200.025000,52.359878
207.975000,52.359878
208.025000,0.000000
209.975000,0.000000
210.025000,52.359878
217.975000,52.359878
218.025000,0.000000
219.975000,0.000000
220.025000,52.359878
227.975000,52.359878
228.025000,0.000000
229.975000,0.000000
230.025000,52.359878
237.975000,52.359878
238.025000,0.000000
239.975000,0.000000
240.025000,52.359878
247.975000,52.359878
248.025000,0.000000
249.975000,0.000000
250.025000,52.359878
257.975000,52.359878
258.025000,0.000000
259.975000,0.000000
260.025000,52.359878
267.975000,52.359878
268.025000,0.000000
269.975000,0.000000
270.025000,52.359878
277.975000,52.359878
278.025000,0.000000
279.975000,0.000000
280.025000,52.359878
287.975000,52.359878
288.025000,0.000000
289.975000,0.000000
290.025000,52.359878
297.975000,52.359878
298.025000,0.000000
301.000000,0.000000
