tag,duty,period,idle_s,last_r,x_last
static_D0.80_T2p5,0.8,2.5,0.4999999999999999,0.2885077028512736,0.4043149741797833
static_D0.85_T5,0.85,5.0,0.7500000000000001,0.284429044541063,0.4002634602275718
static_D0.95_T10,0.95,10.0,0.5000000000000004,0.27997208844432714,0.39636824774022994
static_D0.95_T5,0.95,5.0,0.2500000000000002,0.2784880206771114,0.3949918446538978
