tag,last_r,mean_r,x_last,p_last
actor_s0,0.24368417263854428,0.24221592578695694,0.36079032078780043,3.740370371887242
actor_s1,0.2821758462632048,0.25758612647188067,0.3989119271395304,3.7285504231898394
actor_s2,0.24368417263854428,0.24221592578695694,0.36079032078780043,3.740370371887242
static_D0.20,0.22722454987095475,0.2220893871840847,0.33962780387852093,3.5901599330016642
static_D0.35,0.23499212152435983,0.23531794081569601,0.3478276052482408,3.6039653501407587
static_D0.50,0.24599193457464147,0.23806240005343918,0.35961720164306876,3.629191030165568
static_D0.65,0.2654336906974535,0.2523498192319236,0.3799683238846911,3.6582361840003688
static_D0.80,0.2735104784554101,0.25898760494204054,0.3890140894604139,3.6891853354998205
static_D0.90,0.2886450927273229,0.27204877838775354,0.4048130790690777,3.7104054837556477
static_D1.00,0.24368417263854428,0.24221592578695694,0.36079032078780043,3.740370371887242
