branch,rpm,omega_rad,Re_rot,Ta,t_start,t_end,conv,wf_norm,wallFlux,Mz_kin,mech_P,motor_P,Re_axial
up,40.0,4.1887902047863905,62.8474392679067,987.4501556333055,0.0,15.0,0.2228962326363273,0.029007429654191008,6.715277385519723e-10,-8.167487631985608e-10,3.1817059737235033e-06,0.6941961829536324,0.8636000000000001
up,60.0,6.283185307179586,94.27115890186005,2221.7628501749373,15.0,30.0,0.23917656211986668,0.01973729863907539,4.569223705178667e-10,-8.167487489999999e-10,4.7725588776179195e-06,0.9274403178009972,0.8636000000000001
up,80.0,8.377580409572781,125.6948785358134,3949.800622533222,30.0,45.0,0.2421797846033333,0.017085297082922817,3.955280095258667e-10,-8.167487489999999e-10,6.363411836823892e-06,1.1608477874621426,0.8636000000000001
up,100.0,10.471975511965976,157.11859816976673,6171.563472708158,45.0,60.0,0.24536455724666667,0.01577768410402199,3.6525651022066666e-10,-8.167487489999999e-10,7.954264796029864e-06,1.3944229985157208,0.8636000000000001
up,120.0,12.566370614359172,188.5423178037201,8887.05140069975,60.0,75.0,0.24722421434946668,0.015055812864735871,3.485450481358667e-10,-8.167487489999999e-10,9.545117755235839e-06,1.6281703575948592,0.8636000000000001
up,160.0,16.755160819145562,251.3897570716268,15799.202490132888,75.0,90.0,0.24819920259013334,0.014670222605882608,3.3961855731533337e-10,-8.167487489999999e-10,1.2726823673647784e-05,2.096199146634684,0.8636000000000001
up,220.0,23.03834612632515,345.6609159734869,29870.3672079075,90.0,105.0,0.24872093976186668,0.014461230891868548,3.347803577657333e-10,-8.167487489999999e-10,1.7499382551265703e-05,2.7996436093464694,0.8636000000000001
up,300.0,31.41592653589793,471.3557945093003,55544.071254373455,105.0,120.0,0.24901714261106667,0.014336169540187614,3.318851627182667e-10,-8.167487489999999e-10,2.3862794388089597e-05,3.7403703718872428,0.8636000000000001
up,500.0,52.35987755982988,785.5929908488339,154289.08681770402,120.0,135.0,0.2491956064712,0.01425240857126853,3.299460797072e-10,-8.167487489999999e-10,3.9771323980149324e-05,6.107939525482773,0.8636000000000001
up,800.0,83.7758040957278,1256.9487853581338,394980.0622533221,135.0,150.0,0.2493093330176,0.014190959863581687,3.285235299604e-10,-8.167487489999999e-10,6.363411836823891e-05,9.70947559968558,0.8636000000000001
up,1200.0,125.66370614359172,1885.4231780372013,888705.1400699753,150.0,165.0,0.24938598167626666,0.014142738695379008,3.2740720037106665e-10,-8.167487489999999e-10,9.545117755235839e-05,14.628340953474417,0.8636000000000001
up,1800.0,188.49555921538757,2828.1347670558016,1999586.5651574438,165.0,180.0,0.2494406619652,0.014103045199732258,3.2648828808946664e-10,-8.167487489999999e-10,0.00014317676632853756,22.328613056878755,0.8636000000000001
up,2500.0,261.79938779914943,3927.964954244169,3857227.1704426,180.0,195.0,0.24948185427400005,0.01406927687915984,3.2570654478373334e-10,-8.167487489999999e-10,0.00019885661990074664,31.942743656104323,0.8636000000000001
down,1800.0,188.49555921538757,2828.1347670558016,1999586.5651574438,195.0,210.0,0.2495144260928,0.014039908016674752,3.250266498036e-10,-8.167487489999999e-10,0.00014317676632853756,22.328613056878755,0.8636000000000001
down,1200.0,125.66370614359172,1885.4231780372013,888705.1400699753,210.0,225.0,0.2495412285393333,0.014013995152491208,3.244267618682667e-10,-8.167487489999999e-10,9.545117755235839e-05,14.628340953474417,0.8636000000000001
down,800.0,83.7758040957278,1256.9487853581338,394980.0622533221,225.0,240.0,0.24956395073866666,0.01399092082697898,3.2389258666506664e-10,-8.167487489999999e-10,6.363411836823891e-05,9.70947559968558,0.8636000000000001
down,500.0,52.35987755982988,785.5929908488339,154289.08681770402,240.0,255.0,0.2495836376624,0.013970255495813906,3.234141801578667e-10,-8.167487489999999e-10,3.9771323980149324e-05,6.107939525482773,0.8636000000000001
down,300.0,31.41592653589793,471.3557945093003,55544.071254373455,255.0,270.0,0.24960094709253336,0.013951681431218929,3.2298418688573335e-10,-8.167487489999999e-10,2.3862794388089597e-05,3.7403703718872428,0.8636000000000001
down,220.0,23.03834612632515,345.6609159734869,29870.3672079075,270.0,285.0,0.24961631505253332,0.013934950234609639,3.225968563722667e-10,-8.167487489999999e-10,1.7499382551265703e-05,2.7996436093464694,0.8636000000000001
down,160.0,16.755160819145562,251.3897570716268,15799.202490132888,285.0,300.0,0.24963005093173332,0.013919858708581707,3.222474845573334e-10,-8.167487489999999e-10,1.2726823673647784e-05,2.096199146634684,0.8636000000000001
down,120.0,12.566370614359172,188.5423178037201,8887.05140069975,300.0,315.0,0.24964237747253332,0.013906234921565688,3.2193209119106667e-10,-8.167487489999999e-10,9.545117755235839e-06,1.6281703575948592,0.8636000000000001
down,100.0,10.471975511965976,157.11859816976673,6171.563472708158,315.0,330.0,0.2496534674190667,0.013893929928473778,3.2164722816519996e-10,-8.167487489999999e-10,7.954264796029864e-06,1.3944229985157208,0.8636000000000001
down,80.0,8.377580409572781,125.6948785358134,3949.800622533222,330.0,345.0,0.24966346145440002,0.01388281265360029,3.2138986105120006e-10,-8.167487489999999e-10,6.363411836823892e-06,1.1608477874621426,0.8636000000000001
down,60.0,6.283185307179586,94.27115890186005,2221.7628501749373,345.0,360.0,0.24967247770693332,0.013872766566952436,3.211572921566667e-10,-8.167487489999999e-10,4.7725588776179195e-06,0.9274403178009972,0.8636000000000001
down,40.0,4.1887902047863905,62.8474392679067,987.4501556333055,360.0,375.0,0.24968062050133333,0.013863687423909725,3.20947108198e-10,-8.167487489999999e-10,3.181705918411946e-06,0.6941961829536324,0.8636000000000001
