branch,rpm,Re_rot,t_start_s,t_end_s,settled_frame_s
up,40,62.8,0,15,15
up,60,94.3,15,30,30
up,80,125.7,30,45,45
up,100,157.1,45,60,60
up,120,188.5,60,75,75
up,160,251.4,75,90,90
up,220,345.7,90,105,105
up,300,471.4,105,120,120
up,500,785.6,120,135,135
up,800,1256.9,135,150,150
up,1200,1885.4,150,165,165
up,1800,2828.1,165,180,180
up,2500,3928.0,180,195,195
down,1800,2828.1,195,210,210
down,1200,1885.4,210,225,225
down,800,1256.9,225,240,240
down,500,785.6,240,255,255
down,300,471.4,255,270,270
down,220,345.7,270,285,285
down,160,251.4,285,300,300
down,120,188.5,300,315,315
down,100,157.1,315,330,330
down,80,125.7,330,345,345
down,60,94.3,345,360,360
down,40,62.8,360,375,375
