rpm,conv_bottom_cells,conv_cup_same_run,conv_cup_original_sweep
0,0.000976844,0.0133131,0.0133131
250,0.00942219,0.0206705,0.0206705
500,0.00429219,0.0206324,0.0206324
750,0.00143889,0.0201685,0.0201685
1000,0.0171253,0.0205941,0.0205941
