mode,wb_rpm,duty,peak_rpm,X_conv_lastperiod,conv_final,conv_episode_mean,P_motor_W,P_over_Pmax,R_minus (X - P/Pmax),R_plus (X + P/Pmax),P_visc_cfd_W,omega_meas_peak_rpm,omega_meas_mean_rpm,diverged,wall_minutes
constant,100,1.00,100,0.262485,0.302835,0.217527,1.39442,0.0436576,0.218828,0.306143,0.00198171,100.0,100.0,0,nan
constant,200,1.00,200,0.309158,0.323226,0.262843,2.56497,0.0803059,0.228852,0.389464,0.0105466,200.0,200.0,0,nan
constant,300,1.00,300,0.346296,0.340914,0.2936,3.74037,0.117106,0.22919,0.463403,0.0295531,300.0,300.0,0,nan
constant,400,1.00,400,0.407373,0.436421,0.337048,4.92118,0.154076,0.253298,0.561449,0.0648682,400.0,400.0,0,nan
constant,500,1.00,500,0.393293,0.391691,0.329196,6.10794,0.191232,0.202062,0.584525,0.115211,500.0,500.0,0,nan
pulsed,100,0.70,143,0.27737,0.238183,0.22952,1.32774,0.0415699,0.2358,0.31894,0.0034822,142.9,99.9,0,51.03
pulsed,200,0.70,286,0.338334,0.362179,0.278929,2.50141,0.0783159,0.260018,0.41665,0.0196566,285.7,199.8,0,54.26
pulsed,300,0.70,429,0.376297,0.395735,0.312421,3.68368,0.115331,0.260966,0.491629,0.0554976,428.6,299.6,0,52.72
pulsed,400,0.70,571,0.376733,0.360193,0.310794,4.87558,0.152648,0.224085,0.529381,0.114497,571.4,399.5,0,54.26
pulsed,500,0.70,714,0.399663,0.37343,0.330014,6.0782,0.1903,0.209362,0.589963,0.198685,714.3,499.4,0,57.33
