block,duty,period_s,w_hi_rpm,X_block,wf_block,P_block_W,reward
1,0.8,2.5,375.0,0.3470468044299411,9.53864109110974e-09,3.6988842462326,0.23123953310143142
2,0.8,2.5,375.0,0.3667404905904382,9.663946529932517e-09,3.6988842462326,0.25093321926192846
3,0.8,2.5,375.0,0.38564978956720813,9.585846729797664e-09,3.6988842462326015,0.26984251823869837
4,0.8,2.5,375.0,0.3946042473364361,9.30886140787899e-09,3.698884246232603,0.2787969760079263
5,0.8,2.5,375.0,0.4043149741797833,9.566088788588537e-09,3.698884246232601,0.2885077028512736
