block,duty,w_hi_rpm,X_block,wf_block,P_block_W,reward
1,1.0,300.0,0.356756336652557,8.381118036769775e-09,3.740370371887244,0.23965018850330078
2,0.928127646446228,323.2314015735774,0.35481308326384753,9.293601662663915e-09,3.716687511079934,0.23844841478920964
3,0.9999051570892334,300.02845557203926,0.37662314995523816,9.277273272467171e-09,3.713278792042472,0.26036520405534863
4,0.9099299907684326,329.6956942222017,0.383534449886105,9.406415049201492e-09,3.712816468140231,0.2672909787483395
5,0.9906121253967286,302.84305260230235,0.3989119271395304,9.326995252666027e-09,3.7285504231898394,0.2821758462632048
