mode,wb_rpm,duty,peak_rpm,X_conv_lastperiod,conv_final,conv_episode_mean,P_motor_W,P_over_Pmax,R_minus (X - P/Pmax),R_plus (X + P/Pmax),P_visc_cfd_W,omega_meas_peak_rpm,omega_meas_mean_rpm,diverged,wall_minutes
constant,100,1.00,100,0.262485,0.302835,0.217527,1.39442,0.0436576,0.218828,0.306143,0.00198171,100.0,100.0,0,nan
constant,200,1.00,200,0.309158,0.323226,0.262843,2.56497,0.0803059,0.228852,0.389464,0.0105466,200.0,200.0,0,nan
constant,300,1.00,300,0.346296,0.340914,0.2936,3.74037,0.117106,0.22919,0.463403,0.0295531,300.0,300.0,0,nan
constant,400,1.00,400,0.407373,0.436421,0.337048,4.92118,0.154076,0.253298,0.561449,0.0648682,400.0,400.0,0,nan
constant,500,1.00,500,0.393293,0.391691,0.329196,6.10794,0.191232,0.202062,0.584525,0.115211,500.0,500.0,0,nan
pulsed,100,0.15,667,0.25099,0.215594,0.209855,1.2215,0.0382435,0.212747,0.289234,0.0354075,666.7,99.4,0,43.92
pulsed,200,0.15,1333,0.273193,0.268077,0.230499,2.47575,0.0775125,0.19568,0.350705,0.18589,1333.3,198.9,0,51.01
pulsed,300,0.15,2000,0.291758,0.287488,0.245852,3.82246,0.119676,0.172082,0.411435,0.469017,2000.0,298.3,0,57.58
pulsed,400,0.15,2667,0.320098,0.318465,0.263141,5.28569,0.165488,0.15461,0.485586,0.923055,2666.7,397.8,0,64.27
pulsed,500,0.15,3333,0.329304,0.32483,0.270332,6.88945,0.2157,0.113604,0.545003,1.49705,3333.3,497.2,0,70.80
