block,t_plus_s,t_minus_s,duty,period_s,w_hi_rpm,realized_mean_rpm,X_block,wf_block,P_block_W,reward
1,4.68,0.4999999999999999,0.9034749034749034,5.18,331.90543724433,300.00000000000006,0.37172098322663577,9.526184874462468e-09,3.7283465850335826,0.2549912842587716
2,4.68,0.4999999999999999,0.9034749034749034,5.18,331.90543724433,300.0,0.40744271863392567,9.694841421670897e-09,3.728346585033585,0.2907130196660614
3,4.68,0.4999999999999999,0.9034749034749034,5.18,331.90543724433,300.0,0.4125353878527075,9.645422372424955e-09,3.728346585033582,0.2958056888848433
4,4.68,0.4999999999999999,0.9034749034749034,5.18,331.9054372443301,300.0,0.4138999517610945,9.644191270680588e-09,3.7283465850335813,0.29717025279323034
5,4.68,0.4999999999999999,0.9034749034749034,5.18,331.90543724433,300.00000000000006,0.4125177871336744,9.641311253681287e-09,3.728346585033579,0.29578808816581026
