block,t_plus_s,t_minus_s,duty,period_s,w_hi_rpm,realized_mean_rpm,X_block,wf_block,P_block_W,reward
1,3.9302827145869017,0.4154485698285687,0.9044007687915638,4.3457312844154705,330.80213245734916,300.0,0.3721431593800258,9.602798152581936e-09,3.724087719933589,0.2555467999581852
2,3.9302827145869017,0.4154485698285687,0.9044007687915638,4.3457312844154705,330.8021324573492,300.0,0.4059870450084297,9.571753045571304e-09,3.724087719933588,0.28939068558658915
3,3.9302827145869017,0.4154485698285687,0.9044007687915638,4.3457312844154705,330.8021324573489,300.0,0.4077138845340767,9.520002465411422e-09,3.724087719933583,0.2911175251122363
4,3.9302827145869017,0.4154485698285687,0.9044007687915638,4.3457312844154705,330.8021324573488,300.0,0.40173011066705305,9.193828000678223e-09,3.7240877199335856,0.28513375124521256
5,3.9302827145869017,0.4154485698285687,0.9044007687915638,4.3457312844154705,330.8021324573487,300.0,0.3968918108934091,9.23229228660374e-09,3.7240877199335842,0.28029545147156865
