block,t_plus_s,t_minus_s,duty,period_s,w_hi_rpm,realized_mean_rpm,X_block,wf_block,P_block_W,reward
1,1.0,0.1999999999999999,0.8333333333333334,1.2,357.781339669237,300.0,0.3674878768858448,9.8187555186674e-09,3.7440611692220718,0.250266174655974
2,1.0,0.1999999999999999,0.8333333333333334,1.2,357.78133966923787,300.0,0.4042358208782223,9.515577887184555e-09,3.7440611692220807,0.28701411864835125
3,1.0,0.1999999999999999,0.8333333333333334,1.2,357.7813396692382,300.0,0.40693458217025663,9.554843578906347e-09,3.744061169222083,0.2897128799403855
4,1.0,0.1999999999999999,0.8333333333333334,1.2,357.78133966923815,300.0,0.40809615699757834,9.537681188544078e-09,3.744061169222085,0.2908744547677072
5,1.0,0.1999999999999999,0.8333333333333334,1.2,357.7813396692379,300.0,0.409222987826586,9.57227236223469e-09,3.7440611692220815,0.29200128559671495
