time_s,conversion,wallFlux
0.00121359,0.34268096,8.33523e-09
0.0026008,0.35269959,8.34774e-09
0.00358734,0.36348488,8.37016e-09
0.00438832,0.37148259,8.39299e-09
0.00510304,0.37469979,8.41111e-09
0.0057906,0.37286608,8.42229e-09
0.0064711,0.36699172,8.4258e-09
0.00717774,0.35899587,8.42264e-09
0.0079632,0.35065078,8.41394e-09
0.0088411,0.34354059,8.40078e-09
0.00983326,0.33833704,8.38402e-09
0.0109701,0.33544986,8.36457e-09
0.012287,0.3357451,8.34549e-09
0.0137836,0.34198449,8.33706e-09
0.0152533,0.35851198,8.36018e-09
0.0159779,0.36881322,8.38191e-09
0.0167449,0.37626835,8.40563e-09
0.0174193,0.37709138,8.42119e-09
0.0180988,0.37252346,8.42897e-09
0.0187831,0.36441053,8.4288e-09
0.0195253,0.35502396,8.42229e-09
0.0203534,0.34645315,8.41085e-09
0.0212855,0.33990772,8.39542e-09
0.0223482,0.33568352,8.37678e-09
0.0235779,0.33399352,8.35645e-09
0.0249869,0.33634425,8.33949e-09
0.0265749,0.3479922,8.34267e-09
0.0275682,0.3622343,8.36331e-09
0.0283363,0.37314403,8.38576e-09
0.0290576,0.37881356,8.40597e-09
0.0297399,0.378077,8.41931e-09
0.0304223,0.37211698,8.425e-09
0.0311295,0.36290651,8.42295e-09
0.0319152,0.35290253,8.41455e-09
0.0327937,0.34446512,8.40132e-09
0.0337857,0.33862255,8.38452e-09
0.0349211,0.33568771,8.36524e-09
0.0362359,0.33614728,8.34645e-09
0.0377302,0.34266327,8.33849e-09
0.0391515,0.35915228,8.36083e-09
0.0398811,0.36967494,8.3824e-09
0.0406401,0.37706407,8.40556e-09
0.0413128,0.37779228,8.42098e-09
0.0419899,0.37305793,8.42863e-09
0.0426742,0.3646712,8.42838e-09
0.0434192,0.35497022,8.42173e-09
0.0442503,0.34614721,8.41009e-09
0.0451864,0.33938158,8.39454e-09
0.0462544,0.33498076,8.37585e-09
0.0474914,0.3332618,8.3556e-09
0.0489046,0.33572336,8.33962e-09
0.0504924,0.34754583,8.34528e-09
0.0514663,0.36098095,8.36745e-09
0.0522368,0.37135068,8.39068e-09
0.0529543,0.37660342,8.41069e-09
0.0536361,0.37595435,8.42387e-09
0.0543174,0.37039065,8.42928e-09
0.0550253,0.36183099,8.42742e-09
0.0558121,0.35240588,8.41958e-09
0.056692,0.34421082,8.40707e-09
0.0576871,0.33825705,8.39094e-09
0.0588265,0.33484027,8.37236e-09
0.0601374,0.33466422,8.35428e-09
0.0616175,0.34062103,8.34634e-09
0.0630589,0.35728419,8.36796e-09
0.0637886,0.3681652,8.38915e-09
0.0645498,0.37610282,8.41257e-09
0.0652227,0.37739509,8.42861e-09
0.0659001,0.37316187,8.43708e-09
0.0665834,0.36515062,8.43757e-09
0.0673272,0.35562858,8.43162e-09
0.068157,0.34679662,8.42079e-09
