time_s,conversion,wallFlux
0.00121359,0.34268096,8.33523e-09
0.0026008,0.35269959,8.34774e-09
0.00358734,0.36348488,8.37016e-09
0.00438832,0.37148259,8.39299e-09
0.00510304,0.37469978,8.41111e-09
0.0057906,0.37286608,8.42229e-09
0.0064711,0.36699169,8.4258e-09
0.00717774,0.3589958,8.42264e-09
0.0079632,0.35065065,8.41394e-09
0.0088411,0.34354049,8.40079e-09
0.00983326,0.33833701,8.38402e-09
0.0109701,0.33544989,8.36457e-09
0.012287,0.33574523,8.3455e-09
0.0137836,0.34198459,8.33706e-09
0.0152533,0.35851213,8.3602e-09
0.0159779,0.36881431,8.38193e-09
0.0167449,0.37626953,8.40565e-09
0.0174193,0.37709234,8.42121e-09
0.0180988,0.37252451,8.42899e-09
0.0187831,0.36441119,8.42883e-09
0.0195253,0.35502418,8.42232e-09
0.0203534,0.34645298,8.41089e-09
0.0212855,0.33990723,8.39546e-09
0.0223482,0.33568288,8.37683e-09
0.0235779,0.33399939,8.35651e-09
0.0249869,0.33639427,8.33962e-09
0.0265749,0.348173,8.34307e-09
0.0275591,0.36232254,8.3636e-09
0.0283284,0.37320439,8.38605e-09
0.0290471,0.37877236,8.4061e-09
0.0297285,0.37796302,8.4193e-09
0.0304094,0.37195918,8.42484e-09
0.0311161,0.36273657,8.42268e-09
0.0319013,0.35275588,8.4142e-09
0.032779,0.34435622,8.40095e-09
0.033771,0.33854074,8.38413e-09
0.0349077,0.33561816,8.36483e-09
0.0362226,0.33607293,8.34602e-09
0.0377145,0.34256678,8.33802e-09
0.0391443,0.35900453,8.36065e-09
0.0398733,0.36948353,8.38216e-09
0.0406329,0.37693388,8.40531e-09
0.0413057,0.37774462,8.42074e-09
0.0419827,0.37304127,8.4285e-09
0.0426666,0.36466248,8.42851e-09
0.043411,0.35493948,8.4221e-09
0.0442414,0.34613046,8.41064e-09
0.0451765,0.33954082,8.39524e-09
0.0462434,0.33552372,8.37685e-09
0.0474788,0.33430474,8.35695e-09
0.0488879,0.33718296,8.34124e-09
0.0504678,0.3490612,8.34706e-09
0.0514579,0.36257678,8.37081e-09
0.0522266,0.37246361,8.3955e-09
0.0529462,0.37708319,8.4167e-09
0.0536281,0.37570149,8.43014e-09
0.0543099,0.36956246,8.43532e-09
0.0550172,0.36077349,8.43317e-09
0.0558034,0.3514745,8.42522e-09
0.0566825,0.34356174,8.41286e-09
0.0576755,0.33783448,8.39704e-09
0.0588122,0.33448766,8.37891e-09
0.0601122,0.33426478,8.36157e-09
0.0615739,0.33996529,8.35417e-09
0.0630448,0.35667745,8.37617e-09
0.0637728,0.36759591,8.39707e-09
0.064534,0.3757637,8.42034e-09
0.0652055,0.37726328,8.43654e-09
0.0658814,0.37313542,8.44544e-09
0.0665633,0.36507949,8.44644e-09
0.0673053,0.35544274,8.44104e-09
0.0681329,0.346544,8.43074e-09
