time_s,conversion,wallFlux
0.00121359,0.34268096,8.33523e-09
0.0026008,0.3526996,8.34774e-09
0.00358734,0.36348489,8.37016e-09
0.00438832,0.37148259,8.393e-09
0.00510304,0.37470036,8.41111e-09
0.0057906,0.37286668,8.42229e-09
0.0064711,0.36699188,8.42581e-09
0.00717774,0.35899544,8.42265e-09
0.0079632,0.35064965,8.41395e-09
0.0088411,0.34353954,8.40079e-09
0.00983326,0.33833641,8.38404e-09
0.0109701,0.33544951,8.36459e-09
0.012287,0.33574533,8.34552e-09
0.0137836,0.34198311,8.3371e-09
0.0152555,0.3585514,8.36034e-09
0.0159791,0.36884684,8.38209e-09
0.0167454,0.37629391,8.40581e-09
0.0174194,0.37710349,8.42137e-09
0.0180984,0.37252327,8.42914e-09
0.0187827,0.36439572,8.42897e-09
0.0195254,0.35499696,8.42246e-09
0.0203542,0.34642617,8.41103e-09
0.0212872,0.33989171,8.39564e-09
0.0223511,0.33568938,8.37708e-09
0.0235824,0.33404195,8.3569e-09
0.0249934,0.33651823,8.34033e-09
0.0265839,0.3485406,8.34461e-09
0.0275525,0.3625318,8.36519e-09
0.028323,0.37337072,8.38778e-09
0.0290359,0.37881762,8.40757e-09
0.029713,0.37792508,8.42065e-09
0.0303906,0.37180489,8.42584e-09
0.0310953,0.36260749,8.42349e-09
0.0318785,0.35283309,8.41502e-09
0.0327547,0.34465767,8.40189e-09
0.0337457,0.33894245,8.38527e-09
0.0348825,0.33597795,8.36617e-09
0.0361938,0.33628452,8.34756e-09
0.0376766,0.34250516,8.33947e-09
0.0391458,0.35926387,8.36276e-09
0.0398709,0.36976214,8.38476e-09
0.0406287,0.377241,8.40861e-09
0.0412987,0.37805223,8.4246e-09
0.0419738,0.37338524,8.43282e-09
0.0426562,0.36502491,8.43315e-09
0.0433995,0.3553003,8.42715e-09
0.0442291,0.34643072,8.41629e-09
0.0451634,0.33961926,8.40173e-09
0.0462291,0.33518276,8.38436e-09
0.0474441,0.33353326,8.3661e-09
0.0488049,0.33584041,8.35218e-09
0.0502309,0.34486498,8.35455e-09
0.0514181,0.35999929,8.37964e-09
0.0521794,0.37080207,8.4037e-09
0.0529165,0.37758335,8.42724e-09
0.0535906,0.37818704,8.44422e-09
0.0542685,0.37335674,8.45383e-09
0.0549613,0.36478147,8.45577e-09
0.0557235,0.35466064,8.45145e-09
0.0565749,0.34549762,8.44244e-09
0.0575357,0.33868185,8.43014e-09
0.0586177,0.33462052,8.41608e-09
0.0598033,0.33356706,8.40277e-09
0.0609655,0.33565506,8.39451e-09
0.0621079,0.34090867,8.39418e-09
0.0632324,0.3494439,8.40486e-09
0.0643424,0.36056495,8.42922e-09
0.065301,0.37047428,8.46093e-09
0.066104,0.37595453,8.49005e-09
0.0668062,0.37625646,8.51183e-09
0.0675052,0.37191549,8.52678e-09
0.0681884,0.36439246,8.53392e-09
0.0689085,0.35567156,8.53553e-09
0.0697098,0.34746773,8.53312e-09
0.0706077,0.34100686,8.52783e-09
0.0716103,0.33675693,8.52099e-09
0.0726499,0.33497449,8.51434e-09
0.0736872,0.33517814,8.5092e-09
0.0747234,0.33706084,8.50704e-09
0.0757584,0.34018289,8.5092e-09
0.0767934,0.34398976,8.51672e-09
0.0778283,0.34831981,8.53029e-09
0.0788645,0.353216,8.5504e-09
0.0799018,0.35860135,8.57729e-09
0.0809333,0.36411506,8.61073e-09
0.0818937,0.36851099,8.64646e-09
0.0827083,0.37020488,8.67642e-09
0.0834559,0.36897757,8.69972e-09
0.0841956,0.3650818,8.71651e-09
0.0849236,0.35960643,8.72669e-09
0.0856875,0.35358023,8.73219e-09
0.0865364,0.34789109,8.73442e-09
0.087485,0.3436506,8.7343e-09
0.0884944,0.34154682,8.73365e-09
0.0895016,0.34133628,8.7344e-09
0.0905043,0.34225047,8.73765e-09
0.0915038,0.34376393,8.74394e-09
0.092501,0.34570397,8.75349e-09
0.0934961,0.348052,8.76642e-09
0.094489,0.35076523,8.78269e-09
0.0954808,0.35371879,8.80232e-09
0.0964715,0.35671107,8.8253e-09
0.0974611,0.35951688,8.85151e-09
0.0984507,0.36190981,8.88073e-09
0.0993329,0.36307142,8.90712e-09
0.100142,0.36258492,8.92894e-09
0.100934,0.3604687,8.94572e-09
0.101703,0.35706112,8.95679e-09
0.10248,0.35301243,8.96316e-09
0.103308,0.34904842,8.96581e-09
0.104229,0.34582332,8.96609e-09
0.105224,0.34388964,8.9657e-09
0.106222,0.34335712,8.96634e-09
0.107222,0.34385549,8.96911e-09
0.108224,0.34496318,8.97467e-09
0.109229,0.34657941,8.98339e-09
0.110237,0.34873483,8.99563e-09
0.111248,0.3514445,9.01171e-09
0.112262,0.35463642,9.03194e-09
0.113274,0.35814579,9.05636e-09
0.114147,0.36062673,9.07888e-09
0.114932,0.36126817,9.09732e-09
0.115696,0.35967585,9.11108e-09
0.116431,0.35613445,9.11912e-09
0.117177,0.35142245,9.12218e-09
0.117982,0.34634117,9.12113e-09
0.118879,0.34167506,9.11658e-09
0.119878,0.33809849,9.10978e-09
0.120909,0.33627036,9.10305e-09
0.121942,0.33617637,9.09823e-09
0.122975,0.33759664,9.09649e-09
0.124008,0.34036309,9.09885e-09
0.125041,0.34430519,9.10617e-09
0.126074,0.3491989,9.11918e-09
0.127107,0.35469816,9.1385e-09
0.12812,0.36007896,9.1636e-09
0.128967,0.36318764,9.1862e-09
0.129721,0.36339545,9.20346e-09
0.130463,0.36072165,9.21484e-09
0.131177,0.35612793,9.2196e-09
0.131912,0.35066488,9.219e-09
0.132717,0.34510021,9.21409e-09
0.133615,0.34028052,9.20546e-09
0.134615,0.33707295,9.19408e-09
0.135635,0.33593376,9.18301e-09
0.136654,0.33625332,9.17412e-09
0.137669,0.3374526,9.16826e-09
0.138683,0.33934256,9.16594e-09
0.139694,0.34195905,9.16755e-09
0.140701,0.34527675,9.17337e-09
0.141706,0.34912447,9.18358e-09
0.142707,0.35319962,9.19817e-09
0.143705,0.3571388,9.21694e-09
0.144701,0.36062814,9.23949e-09
0.145569,0.36253509,9.25971e-09
0.146361,0.36240317,9.27527e-09
0.147137,0.36014684,9.2856e-09
0.147889,0.35641087,9.2902e-09
0.148654,0.35205543,9.29001e-09
0.149477,0.34779412,9.28594e-09
0.150392,0.34427135,9.2787e-09
0.151371,0.34210798,9.26997e-09
0.152349,0.34136893,9.26155e-09
0.153325,0.34175998,9.25455e-09
0.154301,0.34290179,9.24974e-09
0.155276,0.34440833,9.2477e-09
0.156252,0.34603031,9.24859e-09
0.157227,0.34758077,9.25232e-09
0.158204,0.34910441,9.25873e-09
0.159181,0.3506929,9.26762e-09
0.160161,0.35237705,9.27892e-09
0.161144,0.35419171,9.29261e-09
0.162129,0.35614602,9.30877e-09
0.163076,0.35794837,9.32577e-09
0.163941,0.35896677,9.3406e-09
0.164758,0.35885698,9.3519e-09
0.165557,0.35754115,9.35895e-09
0.166338,0.35529812,9.36148e-09
0.167138,0.35264412,9.35982e-09
0.167996,0.34994409,9.35507e-09
0.16895,0.34753959,9.34848e-09
0.16999,0.34591718,9.3418e-09
0.171043,0.34537072,9.33715e-09
0.172111,0.34622678,9.33617e-09
0.173198,0.34894634,9.3409e-09
0.174296,0.3538381,9.35376e-09
0.175298,0.35950407,9.37316e-09
0.176103,0.36295442,9.39035e-09
0.176816,0.36337085,9.40233e-09
0.177509,0.36068781,9.40821e-09
0.178183,0.35584667,9.40782e-09
0.178892,0.34999958,9.40213e-09
0.17968,0.34413145,9.39164e-09
0.180562,0.33907301,9.37698e-09
0.181552,0.33537474,9.35888e-09
0.182639,0.3335876,9.33876e-09
0.183726,0.3339027,9.32004e-09
0.184812,0.3362225,9.30431e-09
0.185896,0.34031893,9.29332e-09
0.186978,0.34601618,9.28904e-09
0.18806,0.35320065,9.29354e-09
0.189141,0.3615039,9.30849e-09
0.190216,0.37018987,9.3341e-09
0.191064,0.37526686,9.3575e-09
0.191779,0.37631535,9.37361e-09
0.192465,0.37350258,9.38189e-09
0.193137,0.36761876,9.38221e-09
0.193828,0.36039487,9.37618e-09
0.194593,0.35329765,9.36491e-09
0.195448,0.34760053,9.34918e-09
0.19641,0.3438713,9.32958e-09
0.19748,0.34218762,9.30764e-09
0.198552,0.34209795,9.28737e-09
0.199622,0.34286195,9.27032e-09
0.200692,0.34445999,9.25787e-09
0.20176,0.34730833,9.2512e-09
0.202829,0.35171286,9.25145e-09
0.203896,0.35761385,9.25969e-09
0.204963,0.36460284,9.27673e-09
0.205994,0.37145052,9.30158e-09
0.206813,0.37479136,9.32294e-09
0.207529,0.37429799,9.33777e-09
0.208232,0.37014931,9.34567e-09
0.208918,0.36349283,9.3463e-09
0.209632,0.35597739,9.34104e-09
0.210426,0.34887409,9.33083e-09
0.211313,0.34316388,9.31668e-09
0.212306,0.33947344,9.29969e-09
0.213369,0.33802138,9.28172e-09
0.214432,0.3386178,9.26537e-09
0.215495,0.34112087,9.25247e-09
0.216558,0.34481848,9.24461e-09
0.217621,0.34928236,9.24334e-09
0.218684,0.35463086,9.24979e-09
0.219747,0.3609015,9.26472e-09
0.22081,0.36772802,9.28848e-09
0.221728,0.37260956,9.31369e-09
0.222493,0.37391787,9.33318e-09
0.223202,0.37165783,9.34591e-09
0.223902,0.36630174,9.35159e-09
