time_s,conversion,wallFlux
0.00121359,0.34268096,8.33523e-09
0.0026008,0.35269959,8.34774e-09
0.00358734,0.36348488,8.37016e-09
0.00438832,0.37148259,8.39299e-09
0.00510304,0.37469979,8.41111e-09
0.0057906,0.37286608,8.42229e-09
0.0064711,0.36699171,8.4258e-09
0.00717774,0.35899583,8.42264e-09
0.0079632,0.35065071,8.41394e-09
0.0088411,0.34354054,8.40079e-09
0.00983326,0.33833702,8.38402e-09
0.0109701,0.33544988,8.36457e-09
0.012287,0.33574517,8.3455e-09
0.0137836,0.34198456,8.33706e-09
0.0152533,0.35851209,8.36019e-09
0.0159779,0.36881427,8.38192e-09
0.0167449,0.3762695,8.40564e-09
0.0174193,0.37709233,8.4212e-09
0.0180988,0.37252416,8.42898e-09
0.0187831,0.36441089,8.42881e-09
0.0195253,0.35502403,8.42231e-09
0.0203534,0.34645302,8.41087e-09
0.0212855,0.33990743,8.39544e-09
0.0223482,0.33568317,8.37681e-09
0.0235779,0.33399982,8.35648e-09
0.0249869,0.33639501,8.33958e-09
0.0265749,0.34817392,8.34302e-09
0.0275591,0.36232348,8.36354e-09
0.0283284,0.37320432,8.38598e-09
0.0290471,0.37877121,8.40602e-09
0.0297285,0.37796125,8.41922e-09
0.0304094,0.37195672,8.42475e-09
0.0311161,0.3627335,8.42258e-09
0.0319013,0.35275294,8.41409e-09
0.032779,0.34435347,8.40082e-09
0.033771,0.33853864,8.38398e-09
0.0349077,0.33561703,8.36465e-09
0.0362226,0.33607663,8.34582e-09
0.0377168,0.34258532,8.33781e-09
0.0391445,0.35906196,8.3602e-09
0.0398735,0.36959921,8.38165e-09
0.0406325,0.37706891,8.4047e-09
0.0413048,0.37782343,8.42013e-09
0.0419814,0.3730353,8.42791e-09
0.0426652,0.36458664,8.42788e-09
0.0434102,0.35482323,8.42144e-09
0.0442413,0.34601708,8.40999e-09
0.0451774,0.33938243,8.39462e-09
0.0462454,0.33518623,8.37611e-09
0.0474825,0.33364023,8.35606e-09
0.0488936,0.33607918,8.34028e-09
0.0504788,0.34752232,8.34593e-09
0.0514587,0.3608307,8.3684e-09
0.0522286,0.37099098,8.39194e-09
0.0529466,0.37606345,8.41208e-09
0.0536279,0.3752064,8.42497e-09
0.0543093,0.3695665,8.43009e-09
0.0550166,0.36114931,8.42812e-09
0.0558028,0.35200883,8.42038e-09
0.0566819,0.34408294,8.40813e-09
0.0576759,0.33828872,8.39232e-09
0.058814,0.33491558,8.37416e-09
0.0601194,0.33469642,8.35672e-09
0.0615903,0.34044509,8.34948e-09
0.0630452,0.35691874,8.37184e-09
0.0637749,0.36781926,8.39325e-09
0.064536,0.37584697,8.41683e-09
0.0652081,0.37712905,8.43287e-09
0.0658845,0.37284143,8.44146e-09
0.0665668,0.36477879,8.44221e-09
0.0673088,0.35525838,8.43662e-09
0.0681364,0.34654962,8.42608e-09
