block,t_plus_s,t_minus_s,duty,period_s,w_hi_rpm,realized_mean_rpm,X_block,wf_block,P_block_W,reward
1,4.75,0.24999999999999994,0.95,5.0,315.1409298180992,300.00000000000006,0.36909511377625515,9.317409878032932e-09,3.737364494547922,0.25208307575033395
2,4.75,0.24999999999999994,0.95,5.0,315.14092981809915,300.0,0.3922895781882461,9.242951082918938e-09,3.7373644945479234,0.2752775401623249
3,4.75,0.24999999999999994,0.95,5.0,315.1409298180992,300.00000000000006,0.3952140673369797,9.220040335179744e-09,3.737364494547925,0.2782020293110585
4,4.75,0.24999999999999994,0.95,5.0,315.1409298180992,300.0,0.39544833761247006,9.216792809154659e-09,3.737364494547924,0.2784362995865488
5,4.75,0.24999999999999994,0.95,5.0,315.1409298180993,300.00000000000006,0.3956586850817311,9.216655156432781e-09,3.737364494547926,0.27864664705580977
