block,t_plus_s,t_minus_s,duty,period_s,w_hi_rpm,realized_mean_rpm,X_block,wf_block,P_block_W,reward
1,3.3464906527712754,0.564957613625453,0.8555630612632649,3.9114482663967287,344.96325864693756,300.0,0.36834136916191207,9.489991618326542e-09,3.7237535733128775,0.25175547143765165
2,3.3464906527712754,0.564957613625453,0.8555630612632649,3.9114482663967287,344.96325864693756,300.0,0.4009244371746603,9.591316736070878e-09,3.7237535733128775,0.2843385394503999
3,3.3464906527712754,0.564957613625453,0.8555630612632649,3.9114482663967287,344.96325864693756,300.0,0.4072041665934414,9.40227954434358e-09,3.723753573312876,0.290618268869181
4,3.3464906527712754,0.564957613625453,0.8555630612632649,3.9114482663967287,344.96325864693756,300.0,0.40194548503864785,9.373904226786683e-09,3.7237535733128753,0.2853595873143875
5,3.3464906527712754,0.564957613625453,0.8555630612632649,3.9114482663967287,344.96325864693756,300.0,0.40181429100304883,9.460042030035631e-09,3.7237535733128753,0.28522839327878846
