block,t_plus_s,t_minus_s,duty,period_s,w_hi_rpm,realized_mean_rpm,X_block,wf_block,P_block_W,reward
1,4.566873960789657,0.177641182930523,0.9625586224199014,4.74451514372018,310.60957348361427,300.0,0.36913181245053606,9.379199251500683e-09,3.7398783400440654,0.25204106918052777
2,4.566873960789657,0.177641182930523,0.9625586224199014,4.74451514372018,310.60957348361416,300.00000000000006,0.3978901895061524,9.365971559462863e-09,3.7398783400440663,0.28079944623614406
3,4.566873960789657,0.177641182930523,0.9625586224199014,4.74451514372018,310.6095734836144,300.0,0.4011341059236551,9.34954083877745e-09,3.739878340044067,0.28404336265364677
4,4.566873960789657,0.177641182930523,0.9625586224199014,4.74451514372018,310.6095734836146,300.0,0.40142582395769927,9.34789515075537e-09,3.7398783400440685,0.28433508068769087
5,4.566873960789657,0.177641182930523,0.9625586224199014,4.74451514372018,310.6095734836146,300.0,0.40162467435397087,9.34692972577483e-09,3.7398783400440685,0.28453393108396247
