block,t_plus_s,t_minus_s,duty,period_s,w_hi_rpm,realized_mean_rpm,X_block,wf_block,P_block_W,reward
1,3.8993011894794423,0.48759603249751315,0.8888517310013984,4.386897221976955,333.43032631843937,300.0,0.3735847147582637,9.621203739581017e-09,3.7224782315724547,0.2570387463308231
2,3.8993011894794423,0.48759603249751315,0.8888517310013984,4.386897221976955,333.4303263184392,300.0,0.40424233829532075,9.424315787149425e-09,3.7224782315724516,0.28769636986788016
3,3.8993011894794423,0.48759603249751315,0.8888517310013984,4.386897221976955,333.4303263184392,300.0,0.40364945212703257,9.456350444597897e-09,3.72247823157245,0.28710348369959204
4,3.8993011894794423,0.48759603249751315,0.8888517310013984,4.386897221976955,333.4303263184392,300.0,0.40286980530615324,9.540114024364265e-09,3.722478231572453,0.28632383687871266
5,3.8993011894794423,0.48759603249751315,0.8888517310013984,4.386897221976955,333.43032631843937,300.00000000000006,0.4110743736073491,9.538679233108469e-09,3.722478231572456,0.2945284051799084
