time_s,conversion,wallFlux
0.00121359,0.34268096,8.33523e-09
0.0026008,0.35269959,8.34774e-09
0.00358734,0.36348488,8.37016e-09
0.00438832,0.37148259,8.39299e-09
0.00510304,0.37469978,8.41111e-09
0.0057906,0.37286607,8.42229e-09
0.0064711,0.36699166,8.4258e-09
0.00717774,0.35899571,8.42264e-09
0.0079632,0.35065051,8.41394e-09
0.0088411,0.34354035,8.40079e-09
0.00983326,0.33833689,8.38403e-09
0.0109701,0.33544989,8.36457e-09
0.012287,0.33574528,8.3455e-09
0.0137836,0.34198444,8.33707e-09
0.0152533,0.35851184,8.3602e-09
0.0159779,0.36881401,8.38194e-09
0.0167449,0.37626925,8.40566e-09
0.0174193,0.37709209,8.42123e-09
0.0180988,0.37252442,8.42901e-09
0.0187831,0.36441108,8.42885e-09
0.0195253,0.355024,8.42235e-09
0.0203534,0.34645264,8.41092e-09
0.0212855,0.3399068,8.3955e-09
0.0223482,0.33568236,8.37688e-09
0.0235779,0.33399871,8.35657e-09
0.0249869,0.3363933,8.3397e-09
0.0265749,0.34817231,8.34317e-09
0.0275591,0.36232232,8.36372e-09
0.0283284,0.37320472,8.38619e-09
0.0290471,0.37877331,8.40625e-09
0.0297285,0.37796496,8.41947e-09
0.0304099,0.37195919,8.42503e-09
0.0311171,0.36273297,8.42289e-09
0.0319029,0.35274932,8.41444e-09
0.0327814,0.34435149,8.4012e-09
0.0337744,0.33854361,8.38443e-09
0.0349125,0.33563578,8.36519e-09
0.0362291,0.3361251,8.34652e-09
0.0377233,0.34272305,8.3389e-09
0.0391364,0.35901561,8.36138e-09
0.0398671,0.36943092,8.38288e-09
0.0406255,0.37676968,8.40585e-09
0.0412982,0.37754746,8.42122e-09
0.0419753,0.37292502,8.42889e-09
0.0426596,0.36472563,8.42879e-09
0.0434052,0.3552138,8.42234e-09
0.044237,0.34656137,8.41094e-09
0.045174,0.3399178,8.3957e-09
0.0462433,0.33556283,8.37734e-09
0.0474819,0.33381589,8.3575e-09
0.0488889,0.33616692,8.3422e-09
0.0504636,0.34762865,8.34849e-09
0.0514394,0.36083714,8.37117e-09
0.0522106,0.37083914,8.39504e-09
0.052927,0.37566198,8.41539e-09
0.0536084,0.37463017,8.42852e-09
0.0542887,0.3688761,8.43372e-09
0.0549956,0.36043706,8.43184e-09
0.0557811,0.35138628,8.42428e-09
0.0566594,0.3436482,8.41232e-09
0.0576524,0.33807854,8.39696e-09
0.0587905,0.33487786,8.3793e-09
0.0600852,0.33472193,8.36263e-09
0.0615334,0.34014709,8.35581e-09
0.063052,0.35712257,8.37957e-09
0.0637766,0.3679605,8.40134e-09
0.0645409,0.37616344,8.42576e-09
0.0652119,0.37765612,8.44273e-09
0.0658879,0.37353982,8.45233e-09
0.0665687,0.36551035,8.4539e-09
0.0673083,0.35586715,8.44919e-09
0.0681337,0.34689142,8.43963e-09
