block,t_plus_s,t_minus_s,duty,period_s,w_hi_rpm,realized_mean_rpm,X_block,wf_block,P_block_W,reward
1,4.934918190571459,0.46958730175993113,0.9131118837003233,5.40450549233139,323.3544405618439,300.00000000000006,0.3700623147606743,9.485062988720185e-09,3.7312412908569885,0.25324198630554007
2,4.934918190571459,0.46958730175993113,0.9131118837003233,5.40450549233139,323.3544405618438,300.0,0.4072948570555212,9.588252058142661e-09,3.7312412908569885,0.2904745286003869
3,4.934918190571459,0.46958730175993113,0.9131118837003233,5.40450549233139,323.3544405618438,300.0,0.40881499881656175,9.540128007628042e-09,3.731241290856987,0.2919946703614275
4,4.934918190571459,0.46958730175993113,0.9131118837003233,5.40450549233139,323.3544405618437,300.0,0.4102495255034239,9.561031374494148e-09,3.731241290856985,0.29342919704828974
5,4.934918190571459,0.46958730175993113,0.9131118837003233,5.40450549233139,323.3544405618437,300.0,0.40956319638332656,9.545215823787974e-09,3.7312412908569854,0.2927428679281924
