block,t_plus_s,t_minus_s,duty,period_s,w_hi_rpm,realized_mean_rpm,X_block,wf_block,P_block_W,reward
1,4.391510206040609,0.4312715634684372,0.9105761811170776,4.822781769509046,327.1242100402544,300.0,0.37031447233410625,9.53268635627139e-09,3.7311458284350723,0.2534971326836657
2,4.391510206040609,0.4312715634684372,0.9105761811170776,4.822781769509046,327.1242100402544,300.0,0.40495875037532675,9.627790391691639e-09,3.7311458284350723,0.2881414107248862
3,4.391510206040609,0.4312715634684372,0.9105761811170776,4.822781769509046,327.12421004025464,300.0,0.40797669798016717,9.370538582931497e-09,3.7311458284350794,0.2911593583297264
4,4.391510206040609,0.4312715634684372,0.9105761811170776,4.822781769509046,327.1242100402548,300.0,0.4036716349138819,9.490230358197778e-09,3.7311458284350807,0.2868542952634411
5,4.391510206040609,0.4312715634684372,0.9105761811170776,4.822781769509046,327.1242100402548,300.0,0.40574491074599667,9.584849819196392e-09,3.7311458284350802,0.28892757109555584
