time_s,conversion,wallFlux
0.00121359,0.34268096,8.33523e-09
0.0026008,0.35269959,8.34774e-09
0.00358734,0.36348488,8.37016e-09
0.00438832,0.37148259,8.39299e-09
0.00510304,0.37469978,8.41111e-09
0.0057906,0.37286608,8.42229e-09
0.0064711,0.3669917,8.4258e-09
0.00717774,0.35899583,8.42264e-09
0.0079632,0.3506507,8.41394e-09
0.0088411,0.34354052,8.40079e-09
0.00983326,0.33833701,8.38402e-09
0.0109701,0.33544987,8.36457e-09
0.012287,0.33574516,8.3455e-09
0.0137836,0.34198453,8.33706e-09
0.0152533,0.35851204,8.36019e-09
0.0159779,0.36881421,8.38192e-09
0.0167449,0.37626944,8.40564e-09
0.0174193,0.37709229,8.4212e-09
0.0180988,0.37252448,8.42898e-09
0.0187831,0.36441124,8.42882e-09
0.0195253,0.3550243,8.42231e-09
0.0203534,0.34645318,8.41087e-09
0.0212855,0.3399075,8.39544e-09
0.0223482,0.33568319,8.37681e-09
0.0235779,0.33399981,8.35648e-09
0.0249869,0.33639496,8.33959e-09
0.0265749,0.34817391,8.34303e-09
0.0275591,0.36232353,8.36355e-09
0.0283284,0.37320443,8.386e-09
0.0290471,0.37877139,8.40604e-09
0.0297285,0.3779615,8.41923e-09
0.0304094,0.37195708,8.42476e-09
0.0311161,0.36273395,8.4226e-09
0.0319013,0.35275335,8.41411e-09
0.032779,0.34435386,8.40084e-09
0.033771,0.33853893,8.38401e-09
0.0349077,0.33561716,8.36469e-09
0.0362226,0.3360765,8.34586e-09
0.0377145,0.34256734,8.33784e-09
0.0391443,0.35904501,8.36034e-09
0.0398733,0.36957687,8.38178e-09
0.0406329,0.37706854,8.40488e-09
0.0413057,0.37780599,8.42036e-09
0.0419827,0.37298476,8.42816e-09
0.0426666,0.364513,8.42816e-09
0.043411,0.35474254,8.4217e-09
0.0442414,0.34595093,8.4102e-09
0.0451765,0.33942832,8.39475e-09
0.0462434,0.33550405,8.37623e-09
0.0474788,0.3343427,8.35604e-09
0.0488879,0.33729082,8.34008e-09
0.0504704,0.34921853,8.34589e-09
0.0514585,0.3625669,8.36958e-09
0.0522278,0.37236863,8.39429e-09
0.0529469,0.3768698,8.41537e-09
0.0536282,0.37537606,8.42863e-09
0.0543095,0.36915601,8.43365e-09
0.0550163,0.36036687,8.43135e-09
0.0558019,0.35114956,8.42327e-09
0.0566802,0.34339977,8.41067e-09
0.0576732,0.33783072,8.39458e-09
0.0588099,0.33471399,8.37608e-09
0.0601116,0.33486186,8.35808e-09
0.0615779,0.3410239,8.35018e-09
0.0630488,0.35777735,8.37291e-09
0.0637768,0.36827849,8.39467e-09
0.0645386,0.37580954,8.41836e-09
0.0652106,0.37674209,8.43421e-09
0.065887,0.37230828,8.44245e-09
0.0665689,0.3643402,8.44291e-09
0.0673103,0.35503284,8.4372e-09
0.0681379,0.34642646,8.42673e-09
