block,t_plus_s,t_minus_s,duty,period_s,w_hi_rpm,realized_mean_rpm,X_block,wf_block,P_block_W,reward
1,1.1330182423893773,0.12421591171948965,0.9011990635845123,1.257234154108867,331.6852053310166,300.0,0.36454381486227133,9.457766071739226e-09,3.751014350374913,0.24710441754308182
2,1.1330182423893773,0.12421591171948965,0.9011990635845123,1.257234154108867,331.6852053310165,300.0,0.3934955403766286,9.32033180199816e-09,3.751014350374907,0.2760561430574393
3,1.1330182423893773,0.12421591171948965,0.9011990635845123,1.257234154108867,331.68520533101656,300.0,0.39980178276243417,9.3333294274064e-09,3.7510143503749114,0.2823623854432447
4,1.1330182423893773,0.12421591171948965,0.9011990635845123,1.257234154108867,331.6852053310167,300.0,0.40010532059587456,9.33515029609907e-09,3.751014350374909,0.28266592327668516
5,1.1330182423893773,0.12421591171948965,0.9011990635845123,1.257234154108867,331.6852053310167,300.0,0.39924803145618815,9.323183614020168e-09,3.7510143503749105,0.28180863413699875
