time_s,conversion,wallFlux
0.00121359,0.34263746,8.33517e-09
0.0026008,0.35264674,8.34755e-09
0.0035796,0.36355998,8.36987e-09
0.00437546,0.37170279,8.39264e-09
0.00508008,0.37498336,8.41051e-09
0.00575735,0.37319005,8.42148e-09
0.00643096,0.36727512,8.42484e-09
0.00713214,0.35917658,8.42154e-09
0.00791147,0.35072678,8.41273e-09
0.00878325,0.34355383,8.39956e-09
0.00976954,0.33835574,8.38293e-09
0.0108999,0.33561025,8.36395e-09
0.01221,0.33647753,8.34623e-09
0.0136999,0.34431023,8.34164e-09
0.014939,0.35947718,8.36301e-09
0.0156675,0.36977119,8.38442e-09
0.0163569,0.37588277,8.40431e-09
0.0169898,0.37589266,8.41697e-09
0.017637,0.37067176,8.42215e-09
0.0183112,0.36208489,8.41995e-09
0.0190612,0.35253756,8.41181e-09
0.019901,0.34424898,8.39919e-09
0.0208526,0.33824246,8.38305e-09
0.0219369,0.33481055,8.36449e-09
0.0231504,0.33432542,8.34632e-09
0.024373,0.33753858,8.33473e-09
0.0255114,0.34468229,8.33423e-09
0.0265799,0.35499572,8.3462e-09
0.0276056,0.36643467,8.37033e-09
0.0283962,0.37319924,8.39327e-09
0.0290752,0.37501038,8.41084e-09
0.0297438,0.37211618,8.42231e-09
0.0304079,0.36555131,8.42681e-09
0.0311106,0.35725715,8.42577e-09
0.0318214,0.34982601,8.42136e-09
0.032485,0.34449248,8.41583e-09
0.033108,0.34072697,8.41019e-09
0.0336954,0.33800376,8.40487e-09
0.0342514,0.33597369,8.40014e-09
0.03478,0.33442313,8.39624e-09
0.0352851,0.33322198,8.39342e-09
0.0357703,0.33226544,8.39185e-09
0.0362396,0.33146442,8.39173e-09
0.0366929,0.33075862,8.39319e-09
0.0371276,0.33011275,8.39633e-09
0.0375466,0.32950069,8.40122e-09
0.0379529,0.32890906,8.40791e-09
0.0383493,0.32833382,8.41645e-09
0.0387376,0.32777958,8.42686e-09
0.0391217,0.32724781,8.43922e-09
0.0395041,0.32673867,8.45356e-09
0.0398876,0.32625292,8.46998e-09
0.0402749,0.32579721,8.48852e-09
0.0406687,0.32537285,8.50926e-09
0.0410715,0.32498073,8.53226e-09
0.041483,0.32462743,8.55741e-09
0.0418839,0.32432919,8.58332e-09
0.042272,0.32408116,8.60957e-09
0.0426458,0.32387504,8.63586e-09
0.0430056,0.32370423,8.66209e-09
0.0433519,0.32355795,8.68815e-09
0.0436863,0.32342767,8.71404e-09
0.0440106,0.32330719,8.73983e-09
0.0443262,0.3231933,8.76551e-09
0.0446349,0.32308488,8.79122e-09
0.0449388,0.32298089,8.817e-09
0.0452389,0.32288227,8.84291e-09
0.0455372,0.32278851,8.86905e-09
0.0458354,0.32269995,8.89548e-09
0.046135,0.32261659,8.92225e-09
0.0464377,0.3225386,8.9494e-09
0.0467445,0.32246597,8.97692e-09
0.0470568,0.32239785,9.00479e-09
0.0473758,0.32233457,9.0329e-09
0.0477025,0.32227629,9.06115e-09
0.0480378,0.32222272,9.08937e-09
0.0483826,0.32217372,9.11753e-09
0.0487378,0.32212939,9.14552e-09
0.0491047,0.32209143,9.17321e-09
0.0494843,0.32206092,9.20048e-09
0.049878,0.32203877,9.22722e-09
0.0502876,0.32202544,9.25339e-09
0.0507148,0.32202386,9.27896e-09
0.0511293,0.32204719,9.30225e-09
0.0515292,0.32209656,9.32347e-09
0.0519192,0.32216825,9.34309e-09
0.052304,0.32225811,9.36164e-09
0.0526878,0.32236171,9.37944e-09
0.0530735,0.32247606,9.39671e-09
0.0534645,0.32260086,9.41388e-09
0.0538622,0.32273952,9.43117e-09
0.0542548,0.32289326,9.44821e-09
0.0546399,0.32306101,9.46493e-09
0.0550192,0.32323086,9.48143e-09
0.0553932,0.32339251,9.4977e-09
0.0557606,0.32353378,9.5137e-09
0.0561136,0.32364918,9.52909e-09
0.0564539,0.32373792,9.54406e-09
0.0567828,0.32380188,9.55865e-09
0.057101,0.3238452,9.57304e-09
0.0574105,0.32387108,9.58743e-09
0.0577123,0.3238837,9.60193e-09
0.0580081,0.32388716,9.61667e-09
0.0582989,0.32388345,9.63175e-09
0.0585865,0.32387523,9.64724e-09
0.0588716,0.32386509,9.66314e-09
0.0591555,0.32385453,9.67947e-09
0.0594394,0.32384453,9.6962e-09
0.0597246,0.323836,9.71334e-09
0.0600123,0.32382861,9.7309e-09
0.0603031,0.32382233,9.74885e-09
0.0605979,0.32381766,9.7671e-09
0.0608976,0.32381503,9.78559e-09
0.0612036,0.32381457,9.80422e-09
0.0615173,0.3238171,9.82281e-09
0.0618338,0.32382322,9.84095e-09
0.062152,0.32383256,9.85846e-09
0.0624738,0.32384398,9.87541e-09
0.0628004,0.32385719,9.89194e-09
0.0631334,0.32387206,9.90824e-09
0.0634739,0.32388856,9.92446e-09
0.0638234,0.32390702,9.94069e-09
0.0641832,0.32392667,9.95696e-09
0.0645541,0.32394764,9.9732e-09
0.0649373,0.32397092,9.98931e-09
0.065334,0.32399664,1.00052e-08
0.0657456,0.32402343,1.00206e-08
0.0661733,0.32404938,1.00354e-08
0.0666191,0.32407284,1.00495e-08
0.0670846,0.32409266,1.00625e-08
0.0675723,0.32409942,1.00744e-08
0.0680846,0.32408119,1.00849e-08
0.0686248,0.32397141,1.00938e-08
0.0691973,0.32372771,1.01009e-08
0.0698025,0.323281,1.01062e-08
0.0704026,0.32259508,1.01092e-08
0.0709884,0.32170012,1.01102e-08
0.0715626,0.32087787,1.01098e-08
0.0721283,0.32026306,1.01084e-08
0.0726893,0.31984592,1.01063e-08
0.0732486,0.31958114,1.01037e-08
0.0738093,0.31942989,1.01006e-08
0.0743606,0.31936384,1.00974e-08
0.0749025,0.31935707,1.00943e-08
0.0754376,0.31936163,1.00913e-08
0.0759695,0.31938175,1.00885e-08
0.0765021,0.31945284,1.0086e-08
0.0770372,0.31955884,1.00838e-08
0.0775779,0.31968524,1.0082e-08
0.0781266,0.31982299,1.00806e-08
