block,t_plus_s,t_minus_s,duty,period_s,w_hi_rpm,realized_mean_rpm,X_block,wf_block,P_block_W,reward
1,2.2800000000000002,0.3,0.8837209302325583,2.58,339.12112155216,300.0,0.3695059791347935,9.600701959222402e-09,3.7325353483916914,0.25264513541557965
2,2.2800000000000002,0.3,0.8837209302325583,2.58,339.12112155215965,300.0,0.39419372983250606,9.176217751297664e-09,3.7325353483916883,0.27733288611329227
3,2.2800000000000002,0.3,0.8837209302325583,2.58,339.1211215521596,300.0,0.393085514336469,9.172227731203738e-09,3.732535348391688,0.2762246706172552
4,2.2800000000000002,0.3,0.8837209302325583,2.58,339.12112155215954,300.00000000000006,0.392663096670375,9.172528495431494e-09,3.7325353483916865,0.2758022529511613
5,2.2800000000000002,0.3,0.8837209302325583,2.58,339.1211215521597,300.0,0.3935430369830826,9.168471156191177e-09,3.7325353483916865,0.27668219326386884
