block,t_plus_s,t_minus_s,duty,period_s,w_hi_rpm,realized_mean_rpm,X_block,wf_block,P_block_W,reward
1,2.92,0.4000000000000001,0.8795180722891567,3.32,336.19792583086195,300.00000000000006,0.3692168811277283,9.581972205213632e-09,3.7294045090101373,0.25245405993141845
2,2.92,0.4000000000000001,0.8795180722891567,3.32,336.1979258308618,300.0,0.4022494799283849,9.490320596492776e-09,3.7294045090101364,0.285486658732075
3,2.92,0.4000000000000001,0.8795180722891567,3.32,336.1979258308621,300.0,0.4026699580498933,9.407276139305096e-09,3.7294045090101426,0.28590713685358327
4,2.92,0.4000000000000001,0.8795180722891567,3.32,336.19792583086246,300.00000000000006,0.40536360755476714,9.46912807430268e-09,3.729404509010144,0.28860078635845704
5,2.92,0.4000000000000001,0.8795180722891567,3.32,336.19792583086246,300.00000000000006,0.4057130776734206,9.391290291958153e-09,3.729404509010144,0.2889502564771105
