time_s,omega_cmd_rad_s
0.000000,157.079633
1.975000,157.079633
2.025000,0.000000
9.975000,0.000000
10.025000,157.079633
11.975000,157.079633
12.025000,0.000000
19.975000,0.000000
20.025000,157.079633
21.975000,157.079633
22.025000,0.000000
29.975000,0.000000
30.025000,157.079633
31.975000,157.079633
32.025000,0.000000
39.975000,0.000000
40.025000,157.079633
41.975000,157.079633
42.025000,0.000000
49.975000,0.000000
50.025000,157.079633
51.975000,157.079633
52.025000,0.000000
61.000000,0.000000
