4 0 -9.85679e-05 0 0 930 1.07527e-05 72
8 0 -1.55262e-10 0 0 930 1.07527e-05 72
12 0 -2.70418e-15 0 0 930 1.07527e-05 72
16 0 -4.67887e-20 0 0 930 1.07527e-05 72
20 0 1.63012e-23 0 0 930 1.07527e-05 72
24 0 -9.68019e-05 0 0 930 1.07527e-05 72
28 0 -1.6063e-10 0 0 930 1.07527e-05 72
32 0 -2.80456e-15 0 0 930 1.07527e-05 72
36 0 -4.85755e-20 0 0 930 1.07527e-05 72
40 0 1.65248e-23 0 0 930 1.07527e-05 72
44 0 -9.27844e-05 0 0 930 1.07527e-05 72
48 0 -1.49201e-10 0 0 930 1.07527e-05 72
52 0 -2.59853e-15 0 0 930 1.07527e-05 72
56 0 -4.49758e-20 0 0 930 1.07527e-05 72
60 0 1.77734e-23 0 0 930 1.07527e-05 72
64 0 -9.2264e-05 0 0 930 1.07527e-05 72
68 0 -1.49833e-10 0 0 930 1.07527e-05 72
72 0 -2.60968e-15 0 0 930 1.07527e-05 72
76 0 -4.51435e-20 0 0 930 1.07527e-05 72
80 0 1.74018e-23 0 0 930 1.07527e-05 72
84 0 -9.82191e-05 0 0 930 1.07527e-05 72
88 0 -1.53078e-10 0 0 930 1.07527e-05 72
92 0 -2.66905e-15 0 0 930 1.07527e-05 72
96 0 -4.61914e-20 0 0 930 1.07527e-05 72
100 0 1.63233e-23 0 0 930 1.07527e-05 72
104 0 -0.000101585 0 0 930 1.07527e-05 72
108 0 -1.5056e-10 0 0 930 1.07527e-05 72
112 0 -2.62147e-15 0 0 930 1.07527e-05 72
116 0 -4.53327e-20 0 0 930 1.07527e-05 72
120 0 1.66302e-23 0 0 930 1.07527e-05 72
124 0 -8.87823e-05 0 0 930 1.07527e-05 72
128 0 -1.53405e-10 0 0 930 1.07527e-05 72
132 0 -2.6729e-15 0 0 930 1.07527e-05 72
136 0 -4.62596e-20 0 0 930 1.07527e-05 72
140 0 1.67709e-23 0 0 930 1.07527e-05 72
144 0 -9.76162e-05 0 0 930 1.07527e-05 72
148 0 -1.51193e-10 0 0 930 1.07527e-05 72
152 0 -2.63351e-15 0 0 930 1.07527e-05 72
156 0 -4.55736e-20 0 0 930 1.07527e-05 72
160 0 1.74799e-23 0 0 930 1.07527e-05 72
164 0 -9.93165e-05 0 0 930 1.07527e-05 72
168 0 -1.53543e-10 0 0 930 1.07527e-05 72
172 0 -2.66975e-15 0 0 930 1.07527e-05 72
176 0 -4.61687e-20 0 0 930 1.07527e-05 72
180 0 1.75618e-23 0 0 930 1.07527e-05 72
184 0 -0.000101704 0 0 930 1.07527e-05 72
188 0 -1.53597e-10 0 0 930 1.07527e-05 72
192 0 -2.67634e-15 0 0 930 1.07527e-05 72
196 0 -4.62987e-20 0 0 930 1.07527e-05 72
200 0 1.70503e-23 0 0 930 1.07527e-05 72
