time_s,omega_cmd_rad_s
0.000000,39.269908
0.975000,39.269908
1.025000,0.000000
1.225000,0.000000
1.275000,39.269908
2.225000,39.269908
2.275000,0.000000
2.475000,0.000000
2.525000,39.269908
3.475000,39.269908
3.525000,0.000000
3.725000,0.000000
3.775000,39.269908
4.725000,39.269908
4.775000,0.000000
4.975000,0.000000
5.025000,39.269908
5.975000,39.269908
6.025000,0.000000
6.225000,0.000000
6.275000,39.269908
7.225000,39.269908
7.275000,0.000000
7.475000,0.000000
7.525000,39.269908
8.475000,39.269908
8.525000,0.000000
8.725000,0.000000
8.775000,39.269908
9.725000,39.269908
9.775000,0.000000
9.975000,0.000000
10.025000,39.269908
10.975000,39.269908
11.025000,0.000000
11.225000,0.000000
11.275000,39.269908
12.225000,39.269908
12.275000,0.000000
12.475000,0.000000
12.525000,39.269908
13.475000,39.269908
13.525000,0.000000
13.725000,0.000000
13.775000,39.269908
14.725000,39.269908
14.775000,0.000000
14.975000,0.000000
15.025000,39.269908
15.975000,39.269908
16.025000,0.000000
16.225000,0.000000
16.275000,39.269908
17.225000,39.269908
17.275000,0.000000
17.475000,0.000000
17.525000,39.269908
18.475000,39.269908
18.525000,0.000000
18.725000,0.000000
18.775000,39.269908
19.725000,39.269908
19.775000,0.000000
19.975000,0.000000
20.025000,39.269908
20.975000,39.269908
21.025000,0.000000
21.225000,0.000000
21.275000,39.269908
22.225000,39.269908
22.275000,0.000000
22.475000,0.000000
22.525000,39.269908
23.475000,39.269908
23.525000,0.000000
23.725000,0.000000
23.775000,39.269908
24.725000,39.269908
24.775000,0.000000
24.975000,0.000000
25.025000,39.269908
25.975000,39.269908
26.025000,0.000000
26.225000,0.000000
26.275000,39.269908
27.225000,39.269908
27.275000,0.000000
27.475000,0.000000
27.525000,39.269908
28.475000,39.269908
28.525000,0.000000
28.725000,0.000000
28.775000,39.269908
29.725000,39.269908
29.775000,0.000000
29.975000,0.000000
30.025000,39.269908
30.975000,39.269908
31.025000,0.000000
31.225000,0.000000
31.275000,39.269908
32.225000,39.269908
32.275000,0.000000
32.475000,0.000000
32.525000,39.269908
33.475000,39.269908
33.525000,0.000000
33.725000,0.000000
33.775000,39.269908
34.725000,39.269908
34.775000,0.000000
34.975000,0.000000
35.025000,39.269908
35.975000,39.269908
36.025000,0.000000
36.225000,0.000000
36.275000,39.269908
37.225000,39.269908
37.275000,0.000000
37.475000,0.000000
37.525000,39.269908
38.475000,39.269908
38.525000,0.000000
38.725000,0.000000
38.775000,39.269908
39.725000,39.269908
39.775000,0.000000
39.975000,0.000000
40.025000,39.269908
40.975000,39.269908
41.025000,0.000000
41.225000,0.000000
41.275000,39.269908
42.225000,39.269908
42.275000,0.000000
42.475000,0.000000
42.525000,39.269908
43.475000,39.269908
43.525000,0.000000
43.725000,0.000000
43.775000,39.269908
44.725000,39.269908
44.775000,0.000000
44.975000,0.000000
45.025000,39.269908
45.975000,39.269908
46.025000,0.000000
46.225000,0.000000
46.275000,39.269908
47.225000,39.269908
47.275000,0.000000
47.475000,0.000000
47.525000,39.269908
48.475000,39.269908
48.525000,0.000000
48.725000,0.000000
48.775000,39.269908
49.725000,39.269908
49.775000,0.000000
51.000000,0.000000
