block,duty,w_hi_rpm,X_block,wf_block,P_block_W,reward
1,0.2,1500.0,0.32799220341740726,1.1779056427023597e-08,3.5901599330016487,0.21558894940984155
2,0.2,1500.0,0.33154794005355814,1.1386593497868871e-08,3.5901599330016487,0.21914468604599244
3,0.2,1500.0,0.3374218353701689,1.1538192249324579e-08,3.590159933001674,0.2250185813626024
4,0.2,1500.0,0.3358734232385987,1.1252234896694903e-08,3.590159933001674,0.2234701692310322
5,0.2,1500.0,0.33962780387852093,1.1475735562347686e-08,3.5901599330016642,0.22722454987095475
