mode,wb,duty,X50,P50_W,P50_over_Pmax,R50_minus
pulsed,100,0.8,0.28197551,1.3552079220256783,0.042429803444761376,0.2395457065552386
pulsed,200,0.8,0.36079294653846156,2.531360942383077,0.0792536300057319,0.2815393165327297
pulsed,300,0.8,0.3878142953846153,3.7180832217116504,0.11640836636542425,0.2714059290191911
pulsed,400,0.8,0.3980557423076923,4.917109522344744,0.15394832568393063,0.24410741662376167
pulsed,500,0.8,0.4130962953846154,6.128855937050468,0.19188653528648927,0.22120976009812612
constant,100,1.0,0.26565789461538464,1.3944229985157206,0.043657576659853495,0.22200031795553116
constant,200,1.0,0.3188338734615384,2.5649694087360864,0.08030586752461134,0.23852800593692708
constant,300,1.0,0.3561018488461538,3.7403703718872436,0.11710614814925621,0.2389957006968976
constant,400,1.0,0.38458709384615386,4.921176771582989,0.15407566598569156,0.2305114278604623
constant,500,1.0,0.3687438288461538,6.107939525482772,0.19123166955174614,0.17751215929440767
