block10,duty,X,P_W,r
1,0.8999999999999999,0.35282427705726027,3.7104054837556495,0.23665629071550542
2,0.8999999999999999,0.375658616416579,3.7104054837556495,0.25949063007482415
3,0.8999999999999999,0.40008931947828585,3.71040548375565,0.283921333136531
4,0.8999999999999999,0.40769853162633896,3.7104054837556486,0.29153054528458416
5,0.8999999999999999,0.4048130790690777,3.7104054837556477,0.2886450927273229
6,0.8999999999999999,0.40733139060593027,3.7104054837556477,0.2911634042641755
7,0.8999999999999999,0.41000172887545444,3.7104054837556406,0.29383374253369987
8,0.8999999999999999,0.41141870500832056,3.7104054837556415,0.295250718666566
9,0.8999999999999999,0.4113272312524653,3.7104054837556415,0.2951592449107107
10,0.8999999999999999,0.4139945939309223,3.7104054837556415,0.29782660758916774
11,0.8999999999999999,0.4135673363692116,3.7104054837556415,0.29739935002745704
12,0.8999999999999999,0.4098379199307707,3.7104054837556415,0.2936699335890161
13,0.8999999999999999,0.4110351730107136,3.7104054837556415,0.294867186668959
