block,duty,period_s,w_hi_rpm,X_block,wf_block,P_block_W,reward
1,0.95,10.0,315.7894736842105,0.35685936116076217,8.482937427297972e-09,3.717693327911137,0.2404632018648593
2,0.95,10.0,315.7894736842105,0.3639216902945907,9.618598558908568e-09,3.717693327911137,0.24752553099868785
3,0.95,10.0,315.7894736842105,0.388369231017522,9.625344792691496e-09,3.717693327911137,0.27197307172161916
4,0.95,10.0,315.7894736842105,0.3957157477429418,9.09181682376591e-09,3.717693327911136,0.279319588447039
5,0.95,10.0,315.7894736842105,0.39636824774022994,9.543264545645593e-09,3.717693327911136,0.27997208844432714
